title,author,publisher,price,language,pages,genre,category,target,EAN,code,year,url
Гитлер в Вене. Портрет диктатора в юности,Բրիգիտա Համան,,12900 դրամ,,,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,,,,https://zangakbookstore.am/gitler-v-vene-portret-diktatora-v-yunosti
Долг,Դեյվիդ Գրեբեր,,12400 դրամ,,,Ոչ գեղարվեստական,Բիզնես և տնտեսագիտություն,,,,,https://zangakbookstore.am/dolg
Покой,Ահմեդ Համդի Թանփընար,,10500 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/pokoy
Орнамент массы. Веймарские эссе,Զիգֆրիդ Կրակաուեր,,9900 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/ornament-massi-veymarskie-esse
На пике века. Исповедь одержимой искусством,Պեգի Գուգենհայմ,,8500 դրամ,,,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,,,,https://zangakbookstore.am/na-pike-veka-ispoved-oderzhimoy-iskusstvom
Искусство перформанса,Ռոուզլի Գոլդբերգ,,7600 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/iskusstvo-performansa
Семьдесят минуло 1971-80,Էռնսթ Յունգեր,,7500 դրամ,,,Ոչ գեղարվեստական,Հրապարակախոսություն,,,,,https://zangakbookstore.am/semdesyat-minulo-1971-80
Заметки к перформативной теории собрания,Ջուդիտ Բաթլեր,,6700 դրամ,,,Ոչ գեղարվեստական,Հասարակական գիտություններ,,,,,https://zangakbookstore.am/zametki-k-performativnoy-teorii-sobraniya
К реке. Путешествие под поверхностью,Օլիվիա Լենգ,,6700 դրամ,,,Ոչ գեղարվեստական,Լեզվաբանություն և գրականագիտություն,,,,,https://zangakbookstore.am/k-reke-puteshestvie-pod-poverkhnostyu
Критическая теория интернета,Գերթ Լովինկ,,6800 դրամ,,,Ոչ գեղարվեստական,ՏՏ և ծրագրավորում,,,,,https://zangakbookstore.am/kriticheskaya-teoriya-interneta
"Великий образ не имеет формы, или Через живопись — к не-объекту",Ֆրանսուա Ժուլյեն,,5900 դրամ,,,Ոչ գեղարվեստական,Արվեստ և մշակույթ,,,,,https://zangakbookstore.am/velikiy-obraz-ne-imeet-formi-ili-cherez-zhivopis-k-ne-obektu
Круг тотальной архитектуры,Վալտեր Գրոպիուս,,5400 դրամ,,,Ոչ գեղարվեստական,Ճարտարապետություն,,,,,https://zangakbookstore.am/krug-totalnoy-arkhitekturi
Краткая история феминизма в евро-американском контексте,Անտյե Շրուպ,,5000 դրամ,,,Կոմիքսներ,Գրաֆիկական վեպեր,,,,,https://zangakbookstore.am/kratkaya-istoriya-feminizma-v-evro-amerikanskom-kontekste
