Գույնը,ISBN,Հեղինակ,Էջերի քանակը,Կոդ,Տարեթիվ,Կազմ,Արտադրող,User ID,Երկիր,Լեզու,Լրացուցիչ նկարներ
,,"Մարյան Միշել, Ինսել Ահմեթ, Բոնզոն Արիան",131,K94354,,,Actual Art,,,,
,,Anahit Abrahamyan,,K94307,,,,,Հայաստան,,
,,Քոլլինգվուդ Ռ. Ջ.,,K94269,,,,,Հայաստան,Հայերեն,
,,,125,K94267,2008,Կոշտ,Սարգիս Խաչենց հրատարակչություն,,,,
,,,513,K94263,2008,Կոշտ,Սարգիս Խաչենց հրատարակչություն,,,,
,,Քեշիշյան Արտաշես,,K94256,,,,,Հայաստան,Հայերեն,
,,Խայամ Օմար,192,K94154,,,Վան Արյան,,,,
,,Սարգսյան Կարեն,112,K94150,,,,,,,
,,,500,K94143,- /,Կոշտ,,,,,
,,,,K94120,,,,,,Հայերեն,
,,,216,K94111,2017,Կոշտ,Велас Принт,,,,
,,,523,K94108,2003,Կոշտ,ՀՀ Պատմության արխիվ,,,,
,,Մարկ Նշանեան,564,K94061,,,Actual Art,,,,
,,Արտակ Մովսիսյան,48,K94060,,,Հեղինակային հրատարակչություն,,,,
,,Ենոքյան Աղասի,52,K94059,,,,,,,
,,,10,K94058,,Կոշտ,Պարմա Պրինտ ՍՊԸ,,,,
,,,560,K94039,2017,Կոշտ,ԶԱՆԳԱԿ Հրատարակչություն,,,,
,,Խրիմյան Հռիփսիմե,,K94037,,,,,Հայաստան,,
,,Հերման Հեսսե,220,K94027,,,Քյուրքչյան ՍՊԸ,,,,
,,Աշոտ Մուրադյան,107,K94025,,,Կոլլաժ ՍՊԸ,,,,
,,,,K94009,,,,,Հայաստան,,
,,,,K94008,,,,,Հայաստան,,
,,,,K94007,,,,,Հայաստան,,
,,,,K93995,,,,,,Հայերեն,
,,Վանցյան Գրիգոր,,K93987,,,,,,Հայերեն,
,,"Գրիգորյան Կարեն, Բուդումյան Վահե",109,K93984,,,Actual Art,,,,
,,Տիգրան Հայկազն,128,K93963,,,Տիգրան Մեծ Հրատարակչություն ՓԲԸ,,,,
,,,,K93953,,,,,,Ռուսերեն,
,,Ахназарян Гаянэ,,K93948,,,,,Հայաստան,,
,,Գրիգոր Նարեկացի,,K93942,,,,,Հայաստան,Հայերեն,
,,,224,K93938,2016,Կոշտ,Կռունկ Տպագրատուն,,,,
,,Варданян С. А.,,K93932,,,,,Ռուսաստանի ֆեդերացիա,,
,,"Dorotha Eiment, Sona Harutyunyan",,K93914,,,,,,Անգլերեն,
,,,,K93913,,,,,,,
,,"Սեն Հովհաննիսյան, Հովհաննես Հովհաննիսյան",,K93912,,,,,Հայաստան,Ռուսերեն,
,,,,K93891,,,,,,Հայերեն,
,,,138,K93880,2017,Կոշտ,,,,,
,,,,K93879,2017,,,,Հայաստան,Հայերեն,
,,,,K93845,,,,,,Հայերեն,
,,,34,K9383202,,Կոշտ,Dargaud Editeur,,,,
,,,34,K9383201,,Կոշտ,Dargaud Editeur,,,,
,,"Andersen H.C., Zwerger L.",,K93831,,,,,Ֆրանսիա,Անգլերեն,
,,,28,K93830,,Կոշտ,,,,,
,,,,K93817,2017,,,,Հայաստան,Անգլերեն,
,,,,K93813,,,,,,Հայերեն,
,,Շ. Շմավոնյան,,K93808,,,,,Հայաստան,Հայերեն,
,,,,K93806,- /,,,,Հայաստան,Հայերեն,
,,Գլազլ Ֆրիդրիխ,181,K93805,,,,,,,
,,,,K9379702,,,,,,Անգլերեն,
,,,,K9379701,,,,,,Անգլերեն,
,,,,K9379602,,,,,,Անգլերեն,
,,,120,K93702,2012,Կոշտ,Նուշիկյան Պրինտ տպագրատուն,,,,
,,Տանանյան Էմմա,231,K93684,,,Հեղինակային հրատարակչություն,,,,
,,,,K93671,,,,,,Հայերեն,
,,,,K93649,,,,,,Հայերեն,
,,Պետրոսյան Աշոտ,,K93605,,,,,,Հայերեն,
,,,,K93588,,,,,,Հայերեն,
,,,,K93585,,,,,Հայաստան,Անգլերեն,
,,,,K93579,,,,,,Ռուսերեն,
,,,238,K93575,2010,Կոշտ,Альпина Паблишер,,,,
,,,192,K93572,2014,Կոշտ,"Манн, Иванов и Фербер изд.",,,,
,,,256,K93563,2015,Կոշտ,"Манн, Иванов и Фербер изд.",,,,
,,,208,K93562,2014,Կոշտ,"Манн, Иванов и Фербер изд.",,,,
,,,216,K93555,2010,,"Манн, Иванов и Фербер изд.",,,,
,,,320,K93551,2008,Կոշտ,"Манн, Иванов и Фербер изд.",,,,
,,,99,K93470,2017,,Հեղինակային հրատարակչություն,,,,
,,Մոեմ Սոմերսեթ,112,K93460,,,Մատեան,,,,
,,,,K93427,2014,,,,Հայաստան,Հայերեն,
,,Հովակիմյան Իրինա,119,K93425,,,,,,,
,,,,K93421,,,,,Հայաստան,,
,,,,K93407,- /,,,,Հայաստան,Հայերեն,
,,Չարխչյան Հովիկ,152,K93388,,,Անտարես Հրատարակչություն,,,,
,,,,K93365,,,,,Հայաստան,,
,,,,K93320,,,,,,Հայերեն,
,,,19,K93312,2014,,Հեղինակային հրատարակչություն,,,,
,,G. C. Geodakian,96,K93297,,,Գրաբեր հրատարակչություն,,,,
,,,68,K93295,2012,Կոշտ,Գրաբեր հրատարակչություն,,,,
,,,532,K93287,2014,Կոշտ,Գրաբեր հրատարակչություն,,,,
,,Մերի Սահակյան,34,K93282,,,ՎՄՎ Պրինտ ՍՊԸ,,,,
,,Ghaltakhchyan S. Kh.,160,K93281,,,Տիգրան Մեծ Հրատարակչություն ՓԲԸ,,,,
,,Արզումանյան Գ. Մ.,,K93276,,,,,Հայաստան,Հայերեն,
,,,,K93267,,,,,,Հայերեն,
,,,,K93249,2017,,,,Հայաստան,Հայերեն,
,,Vahan Ishkhanyan,288,K93207,,,Հեղինակային հրատարակչություն,,,,
,,Gretchen Rash,285,K93202,,,Gomidas Institute,,,,
,,,,K93191,- /,,,,Հայաստան,Հայերեն,
,,,,K93183,,,,,,Հայերեն,
,,,,K93174,,,,,,Ռուսերեն,
,,,,K93173,,,,,,Հայերեն,
,,,,K93172,,,,,,Հայերեն,
,,,236,K93165,,Կոշտ,Հայագիտակ Հրատարակչություն,,,,
,,,,K93159,2019,,,,Հայաստան,Հայերեն,
,,,,K93149,,,,,Հայաստան,,
,,,160,K93148,2015,Կոշտ,Նահապետ Հրատարակչություն,,,,
,,,,K93128,,Կոշտ,,,Հայաստան,,
,,,,K93112,,,,,,Հայերեն,
,,,,K93102,,,,,,Հայերեն,
,,Բաբայան Մուշեղ,368,K9307401,,,Տիգրան Մեծ Հրատարակչություն ՓԲԸ,,,,
,,,37,K93055,2015,Կոշտ,Փրինթինֆո ՀՁ ՍՊԸ,,,,
,,Саргсян Марина,,K93053,,,,,,Ռուսերեն,
,,,,K93045,,,,,,,
,,,,K93044,,Կոշտ,,,Հայաստան,,
,,Ենոքյան Մհեր,,K93040,,,,,Հայաստան,Հայերեն,
,,,,K9053,,,,,,Ռուսերեն,
,,,,K90351,,,,,,Հայերեն,
,,Мамян А. Л.,,K90325,,,,,Հայաստան,,
,,,,K90320,,,,,Հայաստան,,
,,Սարուխանյան Ն.,,K90293,,,,,Հայաստան,,
,,Оваким Сагателян,73,K90287,,,Հեղինակային հրատարակչություն,,,,
,,,304,K90280,2016,Կոշտ,Անտարես Հրատարակչություն,,,,
,,Davit Stepanyan,66,K90232,,,Հեղինակային հրատարակչություն,,,,
,,Գյոթե Վոլֆգանգ,23,K9022,,,ՀՄՌ Պրինտ տպագրատուն,,,,
,,Խաչիկ Գրիգորյան,,K90210,,,,,Հայաստան,Հայերեն,
,,,168,K90202,2016,Կոշտ,Անկյունաքար Հրատարակչություն,,,,
,,Исаакян Авик,456,K90169,,,Գասպրինտ տպագրատուն,,,,
,,,,K90151,,,,,Հայաստան,Հայերեն,
,,,164,K90139,2017,Կոշտ,ԷԴԻԹ ՊՐԻՆՏ հրատարակչություն,,,,
,,Պողոսյան Սամվել,,K90138,,,Տոներ Տպագրատուն,,,Հայերեն,
,,Հենրիկ Իգիթյան,,K8647,,,,,Հայաստան,Անգլերեն,
,,Charles R. Larson,,K85453,,,,,,,
,,,,K85451,,,Rough Guides,,,Հայերեն,
,,Jesus Izcaray,,K85450,,,,,,,
,,Պօղոս Գուբելեան,284,K83257,,,Լուսաբաց Հրատարակչություն,,,,
,,,,K83256,370,,,,,Անգլերեն,
,,,,K83255,,,,,,Անգլերեն,
,,Գրիգոր Նարեկացի,,K83244,,,,,Հայաստան,Հայերեն,
,,,336,K83145,2016,Կոշտ,Անտարես Հրատարակչություն,,,,
,,Маилян Масис,,K83144,,,,,,Ռուսերեն,
,,Նանե Զա,110,K83131,,,,,,,
,,Գրիգոր Պըլտեան,187,K83107,,,Ինքնագիր գրական ակումբ,,,,
,,,211,K83083,2015,Կոշտ,Փրինթինֆո ՀՁ ՍՊԸ,,,,
,,,,K83081,,,,,,Հայերեն,
,,,,K83076,2020,,Լիմուշ Հրատարակչություն,,,Հայերեն,
,,,271,K83061,2014,Կոշտ,Նահապետ Հրատարակչություն,,,,
,,Միրզա Ադիգեոզալ-բէկ,,K83035,,,,,Հայաստան,Հայերեն,
,,Վահէ Լոռենց,,K83034,,,,,Հայաստան,,
,,,,K83033,,,,,,Հայերեն,
,,Արտակ Մովսիսյան,48,K83029,,,Հեղինակային հրատարակչություն,,,,
,,,,K83018,2016,Կոշտ,,,Հայաստան,,
,,Հովհաննիսյան Աշոտ,758,K83017,,,Հովհաննիսյան ինստիտուտ,,,,
,,,,K83015,,,,,Հայաստան,Հայերեն,
,,,131,K83014,2018,,Հեղինակային հրատարակչություն,,,,
,,,,K83013,2017,,,,Հայաստան,Անգլերեն,
,,,,K82047,,,,,,Հայերեն,
,,Гоар Рштуни,246,K8158010,,,Լուսակն Հրատարակչություն,,,,
,,Արտակ Մովսիսյան,120,K80995,,,Տիգրան Մեծ Հրատարակչություն ՓԲԸ,,,,
,,Терян Анжела,144,K80981,,,Ոսկան Երևանցի տպագրատուն,,,,
,,Սիսյան Արմենուհի,230,K80977,,,ԷԴԻԹ ՊՐԻՆՏ հրատարակչություն,,,,
,,,784,K80955,2015,Կոշտ,Արևիկ Հրատարակչություն,,,,
,,Հակոբ Հովնաթանյան,91,K80932,,,Հեղինակային հրատարակչություն,,,,
,,,,K80924,,,,,,Հայերեն,
,,Քաջազնունի Հովհաննես,168,K80882,,,,,,,
,,,640,K8087101,2016,Կոշտ,Փրինթինֆո ՀՁ ՍՊԸ,,,,
,,,,K80711,,,,,,Հայերեն,
,,Anahit S. Avetisyan,225,K80708,,,Հեղինակային հրատարակչություն,,,,
,,,243,K80650,2016,Կոշտ,,,,,
,,Տերյան Անժելա,80,K80549,,,Ոսկան Երևանցի տպագրատուն,,,,
,,Հարություն Կալենց,,K80507,,,,,,Հայերեն,
,,,,K80503,,,,,,Հայերեն,
,,Օհանեսյան Ալին,317,K80497,,,Actual Art,,,,
,,Մովսիսյան Ֆոլիքս,,K80458,,,,,,Հայերեն,
,,,92,K80413,2015,,Երևան Բուք Հրատարակչություն,,,,
,,,240,K80410,2002,Կոշտ,Երևան Բուք Հրատարակչություն,,,,
,,Լուսինե Գրիգորյան,289,K8039,,,ԵՊՀ Հրատարակչություն,,,,
,,,,K80356,,,,,Հայաստան,,
,,,,K80315,- /,,,,Հայաստան,Հայերեն,
,,,,K80312,,,,,Հայաստան,Հայերեն,
,,Սամվել Կարապետյան,,K80311,,,,,Հայաստան,,
,,Սամվել Կարապետյան,44,K80305,,,Բյուրակն Հրատարակչություն,,,,
,,Մանֆրեդ Թայզեն,100,K80292,,,,,,,
,,,,K80283,,,,,,Անգլերեն,
,,,,K80248,2015,,,,Հայաստան,Ռուսերեն,
,,,,K80246,,,,,,Հայերեն,
,,Դևրիկյան Վարդան,,K80245,,,,,Հայաստան,,
,,,,K80232,,,,,,Հայերեն,
,,Հուսիկ Արա,112,K80210,,,Ծիծեռնակ,,,,
Կապույտ,,,,,,Կոշտ,,,Հայաստան,,
,,,,K80191,2016,,,,Հայաստան,Անգլերեն,
,,,,K80190,2016,,,,Հայաստան,Անգլերեն,
,,,,K80185,,,,,,Անգլերեն,
,,Зильфян А. А.,,K80176,,,,,,Ռուսերեն,
,,,,K80165,,,Հեղինակային հրատարակչություն,,,Հայերեն,
,,Գոդել Վահե,152,K80105,,,Լուսաբաց Հրատարակչություն,,,,
,,,136,K80034,2011,Կոշտ,Гитутюн Издательство НАН Ра,,,,
,,,,K80033,2013,,,,Հայաստան,Հայերեն,
,,,,K80014,2014,,,,Գերմանիայի ֆեդերատիվ հանրապետություն,Անգլերեն,
,,Бабасян Л.,64,K79967,,,,,,,
,,,,K79965,,,,,,Հայերեն,
,,Ա. Հովհաննիսյան,35,K79832,,,ԷԴԻԹ ՊՐԻՆՏ հրատարակչություն,,,,
,,"Ն․ Վիրաբյան, Լ․ Մարգարյան",,K79804,,,,,Հայաստան,,
,,Kaplanian Patrick,,K7974102,,,,,Ֆրանսիա,,
,,,,K79732,,,,,,Ռուսերեն,
,,,125,K79730,1990,Կոշտ,Детская Литература,,,,
,,,,K79698,,,,,Հայաստան,,
,,Թորոս Թորամանյան,,K79685,,,,,Հայաստան,Հայերեն,
,,,688,K79676,2016,Կոշտ,Можайский полографический комбинат ОАО,,,,
,,,,K79670,2017,,,,Հայաստան,Հայերեն,
,,Արման Հակոբյան,,K79600,,,,,Հայաստան,,
,,,6,K7959111,2015,Կոշտ,Բուկինիստ Հրատարակչություն,,,,
,,,,K79536,,,,,Հայաստան,,
,,,,K79526,,,,,,Հայերեն,
,,,,K79497,,,,,,Հայերեն,
,,,,K79421,,,,,Հայաստան,Ռուսերեն,
,,Мосесова Ирина,336,K7913,,,Հայաստան Հրատարակչություն,,,,
,,,,K7900,,,,,,Հայերեն,
,,,,K7823,,,,,Հայաստան,,7016210
,,Սուվարյան Յուրի,,K77906,,,,,Հայաստան,Հայերեն,
,,Էյլեր,,K77905,,,,,Հայաստան,Հայերեն,
,,,,K77901,,,,,Հայաստան,Հայերեն,
,,,,K77900,,Կոշտ,,,Հայաստան,,
,,,,K77895,,,,,,Հայերեն,
,,,176,K77892,2005,Կոշտ,Рипол Классик,,,,
,,,336,K75604,2015,Կոշտ,Անտարես Հրատարակչություն,,,,
,,,171,K75590,2014,Կոշտ,,,,,
,,,,K75568,,,,,,Հայերեն,
,,,,K75567,,,,,,Հայերեն,
,,,,K75556,Եպ,,,,,Հայերեն,
,,,,K75550,,,,,,Ռուսերեն,
,,,,K75538,,,,,,Հայերեն,
,,Симонян Рубен,200,K75533,,,Նոյյան Տապան ՍՊԸ,,,,
,,Карапетян Р.,,K75519,,,,,,Ռուսերեն,
,,,,K75511,2014,,,,Հայաստան,Հայերեն,
,,,,K7544902,2012,,Dorling Kindersley,,,Անգլերեն,
,,Dana Warath,,K75360,,,,,Հայաստան,,
,,,,K75358,,,,,,Անգլերեն,
,,,340,K75337,2014,Կոշտ,ՀՀ ԳԱԱ ԳԻՏՈՒԹՅՈՒՆ ՀՐԱՏԱՐԱԿՉՈՒԹՅՈՒՆ,,,,
,,,,K75335,,,,,,Ռուսերեն,
,,,,K75312,2014,,,,Հայաստան,Ռուսերեն,
,,,,K75309,,,,,,Հայերեն,
,,,,K75308,,,,,,,
,,"Байбурян Н., Якубова И.",,K75300,,,,,Հայաստան,,
,,Անդրեա Ապոյին,,K75293,,,,,Հայաստան,,
,,,,K75263,,,,,,Հայերեն,
,,Кацахян М. Г.,,K7413,,,,,Հայաստան,,
,,,,K7396,,,,,,,
,,,,K7395,,,,,Հայաստան,,
,,,,K7321,,,,,,,
,,,,K7320,,,,,,,
,,,,K7318,,,,,,,
,,,,K7317,,,,,,,
,,,,K7316,,,,,,,
,,,,K7315,,,,,,,
,,Error 2042,,K7313,,,,,,,
,,Kazim Omer,253,K71570,,,Sigest Editions,,,,
,,,,K71563,,,,,,Հայերեն,
,,Օլյա Խաչատրյան,,K71558,,,,,Հայաստան,,
,,,,K71528,2015,,,,,Հայերեն,
,,,,K7152702,,Կոշտ,,,,,
,,,,K71526,,,,,Հայաստան,Անգլերեն,
,,,,K71497,,,,,Հայաստան,,
,,,,K71496,,,,,,Անգլերեն,
,,,128,K71489,2015,Կոշտ,Արեգ Հրատարակչություն,,,,
,,Սամվել Գասպարյան,,K71488,,,,,,Հայերեն,
,,,,K71486,2013,,,,Հայաստան,Ռուսերեն,
,,,,K71479,,,,,,Հայերեն,
,,,,K71475,,Կոշտ,,,Ռուսաստանի ֆեդերացիա,,
,,,,K71471,,,,,,Հայերեն,
,,Հենրիկ Հովհաննիսյան,,K71468,,,,,Հայաստան,Հայերեն,
,,,,K71453,,,,,,Հայերեն,
,,Տանանյան Էմմա,296,K71440,,,Հեղինակային հրատարակչություն,,,,
,,,,K71398,,,,,,Հայերեն,
,,,348,K71385,2014,Կոշտ,Вече,,,,
,,Նվեր Վիրաբյան,55,K71381,,,ՎՄՎ Պրինտ ՍՊԸ,,,,
,,Նվեր Վիրաբյան,63,K71380,,,ՎՄՎ Պրինտ ՍՊԸ,,,,
,,Գրիգորյան Զարուհի,208,K71368,,,Անկյունաքար Հրատարակչություն,,,,
,,,,K71341,2013,,,,Ֆրանսիա,Անգլերեն,
,,Համբարձումյան Լ.,408,K71340,,,Լուսակն Հրատարակչություն,,,,
,,,,K71321,,Կոշտ,,,Հայաստան,,
,,Martirosyan Hamlet S.,161,K71312,,,ԷԴԻԹ ՊՐԻՆՏ հրատարակչություն,,,,
,,Համլետ Հովհաննիսյան,,K71265,,,,,Հայաստան,Հայերեն,
,,Աննա Պետրոսյան,32,K71238,,,Հեղինակային հրատարակչություն,,,,
,,Թամրազյան Շուշանիկ,44,K71168,,,Անտարես Հրատարակչություն,,,,
,,Григорий Григорян,,K71128,,,,,,Հայերեն,
,,Մորիս Բլանշո,280,K71120,,,Ինքնագիր գրական ակումբ,,,,
,,,,K71112,,,,,,Անգլերեն,
,,Григорян Э. Г.,144,K71103,,,Директ-Медиа,,,,
,,,415,K71095,2013,Կոշտ,,,,,
,,Погосян Хахбакян Г. Г.,244,K71084,,,ՎՄՎ Պրինտ ՍՊԸ,,,,
,,,,K71049,2012,,,,Հայաստան,Հայերեն,
,,,,K71031,,,,,,Հայերեն,
,,,,K70923,,,,,,Հայերեն,
,,,,K70861,2013,,Հեղինակային հրատարակչություն,,,Հայերեն,
,,Սամվել Բիշարյան,127,K70719,,,ԷԴԻԹ ՊՐԻՆՏ հրատարակչություն,,,,
,,,,K70668,2012,,,,Հայաստան,Հայերեն,
,,,,K7034,,,АСТ,,,Ռուսերեն,
,,,,K70332,,,,,,Հայերեն,
,,Արգամ Այվազյան,200,K70288,,,Հեղինակային հրատարակչություն,,,,
,,,,K70285,,,,,,Հայերեն,
,,,2012,K70257,- /,,,,,,
,,Այվազյան Արգամ,,K70254,,,,,Հայաստան,,
,,,638,K70182,2013,Կոշտ,Норма,,,,
,,,,K70082,,,,,,,
,,,,K70048,,Կոշտ,,,Հայաստան,,
,,,200,K70045,2012,Կոշտ,Տիգրան Մեծ Հրատարակչություն ՓԲԸ,,,,
,,Каленц Арутяюн,,K7004401,,,,,Հայաստան,,
,,Վեստերման Ֆրանկ,298,K70035,,,Ալֆա Պրինտ Օմեգա,,,,
,,Արմանյան Արման,,K70015,,,,,Հայաստան,,
,,,,K70000,2015,,,,Հայաստան,Ռուսերեն,
,,,,K6986,,,,,,Հայերեն,
,,Movsisyan Artak,76,K6933,,,ԵՊՀ Հրատարակչություն,,,,
,,,,K6903,2014,,,,Հայաստան,Հայերեն,
,,,,K6781,2006,,,,Հայաստան,Հայերեն,
,,,,K6737,,,,,,Ռուսերեն,
,,Киракосян Дж. С.,,K6734,,,,,Հայաստան,Ռուսերեն,
,,,,K6723,,,,,,Ռուսերեն,
,,,,K6720,,Կոշտ,,,Ֆրանսիա,,
,,Никогосян А.,,K66990,,,,,Հայաստան,,
,,Մարկ Էմիլ,,K66438,,,,,Հայաստան,,
,,,648,K66414,2017,Կոշտ,Նահապետ Հրատարակչություն,,,,
,,,,K66401,,,,,Հայաստան,,
,,,,K66397,2004,,,,Հայաստան,Հայերեն,
,,,,K66352,,Կոշտ,,,Հայաստան,,
,,,160,K63719,2016,Կոշտ,Норма,,,,
,,Рштуни Г.,,K63344,,,,,Ռուսաստանի ֆեդերացիա,Ռուսերեն,
,,,,K6294,1997,,,,Ռուսաստանի ֆեդերացիա,Ռուսերեն,
,,,,K6259,2006,,,,Հայաստան,Հայերեն,
,,Թովմասյան Վարդան,,K59688,,,,,,Հայերեն,
,,Դավոյան Ռազմիկ,,K59686,,,,,,Հայերեն,
,,Error 2042,,K58715,,,,,,,
,,Խայամ Օմար,104,K5794,,,Վան Արյան,,,,
,,,,K5774,,,,,,,
,,,,K57377,,,,,,Ռուսերեն,
,,,,K57376,2013,,,,Հայաստան,Անգլերեն,
,,,,K57352,,Կոշտ,,,Հայաստան,,
,,,,K57338,,,,,,Հայերեն,
,,,,K57336,,,,,Հայաստան,Հայերեն,
,,Աթանեսյան Վահե,,K57292,,,,,Հայաստան,,
,,,105,K5729,- /,Կոշտ,,,,,
,,Էլֆրիդա Մելիքյան,,K57268,,,,,,Հայերեն,
,,Վարդան Այվազյան,35,K57215,,,Հեղինակային հրատարակչություն,,,,
,,,,K57120,,,,,,Հայերեն,
,,,,K56887,,,,,,Հայերեն,
,,,,K56813,2012,,,,Հայաստան,Հայերեն,
,,Գոդել Վահե,92,K5660,,,Լուսաբաց Հրատարակչություն,,,,
,,,,K56383,2012,,,,Հայաստան,Ռուսերեն,
,,,251,K56359,2011,Կոշտ,Անտարես Հրատարակչություն,,,,
,,,,K56326,,,,,,,
,,"Կ․ Թորոսյան, Կ․ Չիբուխչյան, Մ․ Մանուկյան",,K56307,,,,,Հայաստան,,
,,Դիեգո Տատյան,,K56301,,,,,Հայաստան,,
,,,,K56292,,,,,,Այլ,
,,,,K56287,,,,,,Հայերեն,
,,Մելինէ Գարագաշեան,270,K56280,,,,,,,
,,,,K56273,,,,,,Հայերեն,
,,,,K56264,2012,,,,Հայաստան,Հայերեն,
,,,,K56252,,,,,Հայաստան,Հայերեն,
,,Սուքիասյան Ալեքսանդր,,K56201,,,,,Հայաստան,,
,,Արա Հայթայան,,K56102,,,,,,Հայերեն,
,,,,K55250,,,,,,Հայերեն,
,,,487,K53362,2013,Կոշտ,Հայագիտակ Հրատարակչություն,,,,
,,,,K5165001,,Կոշտ,,,Հայաստան,,
,,Վահրամ Հարությունյան,,K51054,,,,,Հայաստան,,
,,Թովմասյան Հ.,,K51011,,,,,Հայաստան,,
,,,,K51010,,,,,Հայաստան,Հայերեն,
,,Արգամ Այվազյան,613,K50126,,,Գասպրինտ տպագրատուն,,,,
,,Վահան Մելքոնյան,,K50100,,,,,,Հայերեն,
,,,,K50041,,,,,,Հայերեն,
,,,,K50020,,Կոշտ,,,Հայաստան,,
,,Մարտիրոսյան Համլետ Ս.,,K50011,,,,,Հայաստան,,
,,Պանդելիդիս Լեոնիդաս,,K49973,,,,,Հայաստան,,
,,,,K49948,2011,,,,Հայաստան,Հայերեն,
,,,,K49943,,Կոշտ,,,Հայաստան,,
,,,,K4993409,,,,,,Հայերեն,
,,Guillaume Bara,,K4993408,,,Librio,,,,
,,,,K4993407,2006,,Librio,,,Անգլերեն,
,,,,K4993406,1995,,,,Ֆրանսիա,Անգլերեն,
,,Patrick Raynal,123,K4993405,,,,,,,
,,Frison-Roche,125,K4993403,,,,,,,
,,,,K4993402,1978,,,,Ֆրանսիա,Անգլերեն,
,,,,K49932,,Կոշտ,Hachette,,,,
,,,46,K49931,,Կոշտ,Larosse,,,,
,,Lewis Carroll,,K49930,,,Disney,,,Անգլերեն,
,,,,K4992935,,Կոշտ,,,Հայաստան,,
,,,,K4992934,,,Librio,,,Հայերեն,
,,Claude Nougaro,154,K4992929,,,,,,,
,,,,K4992928,1999,,Librio,,,Անգլերեն,
,,Bernard Clavel,,K4992926,,,,,,Հայերեն,
,,,156,K4992922,1992,,,,,,
,,,126,K4992921,1991,,,,,,
,,,157,K4992920,1991,,,,,,
,,,,K4992919,1993,,DUPUIS,,,Անգլերեն,
,,,,K4992912,1989,,Hermann Dupuis,,,Հայերեն,
,,,,K4992910,1993,,DUPUIS,,,Անգլերեն,
,,,,K4992908,1996,,Dargaud Editeur,,,Հայերեն,
,,,48,K4992905,1990,,,,,,
,,,48,K4992904,,Կոշտ,,,,,
,,,48,K4992903,1986,,,,,,
,,,45,K4992902,,Կոշտ,,,,,
,,Սամվել Գասպարյան,,K49922,,,,,Հայաստան,Հայերեն,
,,,,K49913,2011,,,,Հայաստան,Հայերեն,
,,,640,K49787,2000,Կոշտ,ВЛАДОС  Гуманитарный Издательский Центр,,,,
,,,727,K49784,2000,Կոշտ,Юнити Дана,,,,
,,,300,K49780,2011,Կոշտ,Молодая гвардия,,,,
,,,,K49770,2011,,,,Հայաստան,Հայերեն,
,,Զաքարյան Սուրեն,,K49715,,,,,Հայաստան,,
,,,,K47106,,,,,Հայաստան,,
,,Մաղաքիա արքեպիսկոպոս Օրմանյան,,K45684,,,,,Հայաստան,Անգլերեն,
,,Резник Людмила,352,K45658,,,Неопалимая Купина,,,,
,,Արգամ Այվազյան,118,K45654,,,Գասպրինտ տպագրատուն,,,,
,,Վահրամ Սահակյան,128,K45618,,,Անտարես Հրատարակչություն,,,,
,,,,K40539,,,,,,Հայերեն,
,,Samvel Karapetyan,,K39789,,,Տիգրան Մեծ Հրատարակչություն ՓԲԸ,,,Այլ,
,,Hovhannisyan Richard,430,K39772,,,Mazda Publishers,,,,
,,,,K39760,2012,,Sigest Editions,,,Հայերեն,
,,Այվազյան Հովհաննես,136,K39717,,,Իրավունք Հրատարակչություն,,,,
,,Պաստեռնակ Բորիս,130,K39716,,,Իրավունք Հրատարակչություն,,,,
,,Մանդելշտամ Օսիպ,134,K39714,,,Իրավունք Հրատարակչություն,,,,
Կարմիր,978-9939-816-22-7,,,,2010,,,,Հայաստան,Հայերեն,
,,Պետրոսյան Մարինե,128,K39607,,,,,,,
,,,,K39553,,,,,,Հայերեն,
,,,,K39530,,,,,,,
,,,,K3948202,2011,,,,Հայաստան,Հայերեն,
,,,,K39477,2009,,,,Հայաստան,Հայերեն,
,,Սարգիս Այվազյան,308,K39452,,,ԵՊՀ Հրատարակչություն,,,,
,,,510,K39447,- /,Կոշտ,,,,,
,,,,K39446,2010,,,,Ամերիկայի միացյալ նահանգներ,Անգլերեն,
,,Աշոտ Գրիգորյան,,K39444,,,,,,,
,,,,K39429,2010,,,,Հայաստան,Հայերեն,
,,Հարությունովա,,K39395,,,,,,,
,,,,K39389,,,,,,Անգլերեն,
,,Մկրտչյան Ն.,150,K39368,,,,,,,
,,,,K39360,,,,,,,
,,Սարյան,,K39357,,,,,Հայաստան,Հայերեն,
,,Եղիազարյան Գուրգեն,,K39353,,,,,Հայաստան,,
,,Տիգրան Դավթյան,,K39350,,,,,Հայաստան,Հայերեն,
,,,,K39336,,,,,,,
,,Դընի Դոնիկյան,111,K39290,,,Actual Art,,,,
,,Մաճկալյան Սերգեյ,125,K39208,,,Ֆիլին,,,,
,,,114,K39173,2004,Կոշտ,ՀՀ տարածքում ձեռք բերված,,,,
,,,,K39156,,,,,,,
,,Տեր-Սարգսյան Լուսյա,,K39137,,,,,Հայաստան,,
,,Սամվել Կարապետյան,35,K39125,,,Հեղինակային հրատարակչություն,,,,
,,,,K39124,,,,,Հայաստան,,
,,,,K39108,,,,,,Հայերեն,
,,,,K39107,,,,,,Հայերեն,
,,,188,K39071,2010,,Գրիգոր Տաթևացի Հրատարակչություն,,,,
,,,,K39049,,,,,,Հայերեն,
