Գույնը,ISBN,Հեղինակ,Էջերի քանակը,Կոդ,Տարեթիվ,Կազմ,Արտադրող,User ID,Երկիր,Լեզու,Լրացուցիչ նկարներ
,,Alexandre Soljanitsyne,906,K048946,,,,,,,
,,Katharina Hagena,288,K048945,,,,,,,
,,"Գ. Թերզյան, Կ. Թորոսյան, Հ. Խաչատրյան",88,90118,,,,,,,
,,,,83178,,Կոշտ,,,,,
,,,472,80159,2021,Կոշտ,,,,,
,,,8,7959204,2021,,,,,,
,,,104,57354,2012,Կոշտ,,,,,
,,,588,048944,2021,Կոշտ,,,,,
,,,240,047026,,Կոշտ,,,,,
,,,201,027389,,Կոշտ,,,,,
,,,,015370,,,,,,,
,,,,015369,,Կոշտ,,,,,
,,,472,0151265,2021,Կոշտ,,,,,
,,,794,K80868,2015,Կոշտ,,,,,
,,Դավթյան Համլետ,,K18065,,,,,Հայաստան,Հայերեն,
,,,420,K048942,2022,,,,,,
,,,176,K57288,2012,,,,,,
,,Гомбрович В.,416,23082090,,,,,,,
,,,152,23082088,2021,Կոշտ,,,,,
,,Агамбен Дж.,160,23082086,,,,,,,
,,Стайн Г.,104,23082085,,,,,,,
,,Бренер А.,112,23082084,,,,,,,
,,Леве Э.,176,23082083,,,,,,,
,,,175,23082081,2021,Կոշտ,,,,,
,,Федерман Р.,72,23082073,,,,,,,
,,ПРОФ-ПРЕСС,8,23082031,,,,,,,
,,ПРОФ-ПРЕСС,8,23082030,,,,,,,
,,ПРОФ-ПРЕСС,8,23082029,,,,,,,
,,РЫЖИЙ КОТ,8,23082028,,,,,,,
,,ПРОФ-ПРЕСС,8,23082026,,,,,,,
,,ПРОФ-ПРЕСС,8,23082025,,,,,,,
,,ПРОФ-ПРЕСС,8,23082022,,,,,,,
,,Жуандо М.,180,047817,,,,,,,
,,,115,047812,2020,Կոշտ,,,,,
,,РЫЖИЙ КОТ,,029065,,,,,,,
,,Жуандо М.,124,026639,,,,,,,
,,РЫЖИЙ КОТ,8,026346,,,,,,,
,,Ожьерас Франсуа,,0150770,,,,,,Ռուսերեն,
,,,,13782,2017,,,,,Հայերեն,
,,,160,23082092,2020,Կոշտ,,,,,
,,Адамов А.,240,23082089,,,,,,,
,,Гомбрович В.,192,23082078,,,,,,,
,,Бауэр Вольфганг,195,0150767,,,,,,,
,,Մկրտիչ Արմեն,216,90221,,,,,,,
,,Ռոդարի Ջաննի,224,52567,,,,,,,
,,Սոկրատ Մկրտչյան,64,048310,,,,,,,
,,Յոհաննա Սփիրի,240,048309,,,,,,,
,,,168,048307,2021,,,,,,
,,,,040016,2016,,,,,Հայերեն,
,,,,032502,2013,,,,,Հայերեն,
,,,,032501,2013,,,,,Հայերեն,
,,Ռոուլինգ,,029202,,,,,,Հայերեն,
